FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeFormPoints,AwayFormPoints,HTWStreak3,HTWStreak5,HTLStreak3,HTLStreak5,ATWStreak3,ATWStreak5,ATLStreak3,ATLStreak5,HTGD,ATGD,PointsDiff,FormPointsDiff,HomeH2HStadiumPts,HomeH2HPts
NH,1.3,1.9,D,W,D,W,W,W,2.2,1.8,0,0,0,0,1,0,0,0,0.3,1.0,-0.6,0.4,0,0
H,0.9,0.5,W,W,D,D,L,L,1.6,0.2,0,0,0,0,0,0,0,0,-0.7,-0.7,0.4,1.4,0,0
NH,1.0909090909090908,0.18181818181818182,L,D,W,L,L,L,1.6,0.2,0,0,0,0,0,0,1,0,-0.18181818181818182,-1.1818181818181819,0.9090909090909091,1.4,0,0
H,1.0,1.0,D,W,L,L,L,L,1.4,0.8,0,0,0,0,0,0,1,0,-0.45454545454545453,-0.18181818181818182,0.0,0.6,0,0
H,2.0,1.6363636363636365,W,W,W,W,L,D,2.4,1.0,1,0,0,0,0,0,0,0,1.0909090909090908,0.6363636363636364,0.36363636363636365,1.4,0,0
NH,2.090909090909091,0.9090909090909091,W,D,D,W,D,L,1.6,1.0,0,0,0,0,0,0,0,0,1.3636363636363635,-0.18181818181818182,1.1818181818181819,0.6,0,0
NH,0.9090909090909091,1.0909090909090908,L,W,W,W,W,W,1.4,2.2,0,0,0,0,1,0,0,0,-0.8181818181818182,-0.45454545454545453,-0.18181818181818182,-0.8,0,0
NH,2.090909090909091,1.8181818181818181,W,D,W,D,D,D,2.6,1.8,0,0,0,0,0,0,0,0,1.1818181818181819,0.8181818181818182,0.2727272727272727,0.8,0,0
H,0.6363636363636364,1.1818181818181819,L,L,L,L,D,W,0.0,1.6,0,0,1,1,0,0,0,0,-1.3636363636363635,0.09090909090909091,-0.5454545454545454,-1.6,0,0
NH,1.0909090909090908,0.9090909090909091,D,W,L,L,L,D,1.0,0.6,0,0,0,0,0,0,0,0,-0.36363636363636365,-0.36363636363636365,0.18181818181818182,0.4,0,0
H,2.090909090909091,1.3636363636363635,W,W,D,W,D,W,2.6,1.6,0,0,0,0,0,0,0,0,1.0,0.09090909090909091,0.7272727272727273,1.0,0,0
NH,0.45454545454545453,1.3636363636363635,L,D,L,D,L,D,0.2,1.2,0,0,0,0,0,0,0,0,-0.8181818181818182,0.09090909090909091,-0.9090909090909091,-1.0,0,0
NH,0.9166666666666666,2.0,L,L,L,D,W,D,0.2,1.2,0,0,1,0,0,0,0,0,-0.25,1.25,-1.0833333333333333,-1.0,0,0
NH,1.5,0.4166666666666667,L,W,L,L,L,D,1.0,0.2,0,0,0,0,0,0,0,0,0.16666666666666666,-0.9166666666666666,1.0833333333333333,0.8,0,0
NH,1.5,2.0,W,D,L,D,W,D,1.2,2.2,0,0,0,0,0,0,0,0,0.25,1.0833333333333333,-0.5,-1.0,0,0
NH,1.0833333333333333,2.1666666666666665,L,L,D,W,W,W,1.0,2.6,0,0,0,0,1,0,0,0,0.0,1.3333333333333333,-1.0833333333333333,-1.6,0,0
NH,1.0833333333333333,1.0,D,W,W,L,L,D,2.2,1.0,0,0,0,0,0,0,0,0,-0.4166666666666667,-0.25,0.08333333333333333,1.2,0,0
H,0.4166666666666667,0.8333333333333334,W,L,L,W,L,L,0.8,0.6,0,0,0,0,0,0,0,0,-1.0,-1.1666666666666667,-0.4166666666666667,0.2,0,0
H,1.75,0.9166666666666666,D,D,D,D,L,W,1.4,1.6,0,0,0,0,0,0,0,0,0.75,-0.75,0.8333333333333334,-0.2,0,0
H,1.25,1.0,L,W,D,L,D,W,1.6,1.0,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.4166666666666667,0.25,0.6,0,0
NH,0.9166666666666666,2.0833333333333335,D,W,D,W,W,W,1.2,3.0,0,0,0,0,1,1,0,0,-0.16666666666666666,1.4166666666666667,-1.1666666666666667,-1.8,0,0
H,1.0833333333333333,1.1666666666666667,W,L,L,W,D,W,1.0,1.4,0,0,0,0,0,0,0,0,-0.25,-0.3333333333333333,-0.08333333333333333,-0.4,0,0
NH,1.0769230769230769,2.076923076923077,L,W,D,W,D,W,1.4,1.8,0,0,0,0,0,0,0,0,-0.6153846153846154,1.2307692307692308,-1.0,-0.4,0,0
H,2.1538461538461537,1.8461538461538463,W,W,W,W,D,D,3.0,1.4,1,1,0,0,0,0,0,0,1.3846153846153846,0.7692307692307693,0.3076923076923077,1.6,0,0
NH,0.7692307692307693,1.2307692307692308,L,W,L,W,W,L,0.6,1.4,0,0,0,0,0,0,0,0,-1.3076923076923077,0.07692307692307693,-0.46153846153846156,-0.8,0,0
NH,0.9230769230769231,0.8461538461538461,L,L,D,L,D,W,0.8,1.0,0,0,0,0,0,0,0,0,-0.46153846153846156,-0.23076923076923078,0.07692307692307693,-0.2,0,0
H,2.076923076923077,0.6153846153846154,D,W,W,W,W,L,2.2,1.2,0,0,0,0,0,0,0,0,1.2307692307692308,-0.6923076923076923,1.4615384615384615,1.0,0,0
H,0.46153846153846156,0.8461538461538461,D,L,L,L,L,L,0.4,0.0,0,0,0,0,0,0,1,1,-0.8461538461538461,-0.3076923076923077,-0.38461538461538464,0.4,0,0
